,nct_id,success
0,NCT04465877,0.0
1,NCT03617081,0.0
2,NCT01427257,0.0
3,NCT01068730,0.0
4,NCT00839683,0.0
5,NCT02353975,0.0
6,NCT06945406,0.0
7,NCT03646721,0.0
8,NCT03565458,0.0
9,NCT01916174,0.0
10,NCT05363774,0.0
12,NCT03738449,0.0
13,NCT05731544,1.0
14,NCT01302028,1.0
16,NCT00704132,0.0
17,NCT05113693,0.0
18,NCT02201199,0.0
19,NCT04259801,1.0
20,NCT01477567,0.0
21,NCT04857398,0.0
22,NCT04623567,0.0
23,NCT07160257,0.0
24,NCT05762471,0.0
25,NCT01128985,0.0
26,NCT03387657,0.0
27,NCT06333977,0.0
28,NCT01856881,0.0
29,NCT01383356,0.0
30,NCT01088594,0.0
31,NCT02169531,0.0
33,NCT06506175,0.0
34,NCT06124495,0.0
35,NCT06124547,0.0
36,NCT05887999,0.0
37,NCT01240252,0.0
38,NCT05893576,0.0
39,NCT04957914,0.0
40,NCT01555008,0.0
41,NCT01507285,1.0
42,NCT00437606,0.0
43,NCT03347968,0.0
44,NCT00625859,0.0
45,NCT05510245,1.0
46,NCT04838405,0.0
47,NCT00933972,0.0
49,NCT05435677,0.0
50,NCT05427682,0.0
51,NCT03686722,0.0
52,NCT05152277,0.0
53,NCT03444467,0.0
54,NCT02686281,0.0
55,NCT00541983,1.0
56,NCT01497600,0.0
57,NCT06829563,0.0
58,NCT04345107,0.0
59,NCT04322032,0.0
60,NCT06524960,0.0
61,NCT03169959,0.0
62,NCT01664624,0.0
63,NCT02367066,0.0
65,NCT06151964,0.0
66,NCT03292185,0.0
67,NCT03789578,0.0
68,NCT02932826,0.0
69,NCT05134662,0.0
70,NCT01868529,0.0
71,NCT02821871,0.0
72,NCT05377333,1.0
73,NCT00933062,0.0
74,NCT01147861,0.0
75,NCT02913703,0.0
76,NCT04068272,0.0
77,NCT05694741,0.0
78,NCT02716610,0.0
80,NCT03211195,1.0
81,NCT03170544,0.0
82,NCT02791867,0.0
83,NCT00642538,0.0
85,NCT05747664,0.0
86,NCT00508287,0.0
87,NCT00494767,0.0
88,NCT01619332,0.0
89,NCT06132204,0.0
90,NCT01835730,1.0
93,NCT03367377,0.0
94,NCT03849495,0.0
95,NCT02223065,0.0
96,NCT01572753,0.0
97,NCT04982705,0.0
99,NCT01302145,0.0
103,NCT01474161,0.0
104,NCT02009488,0.0
105,NCT00259896,1.0
106,NCT06293742,0.0
107,NCT00899470,0.0
108,NCT05227196,0.0
109,NCT00897390,0.0
110,NCT04466904,1.0
113,NCT06483243,0.0
114,NCT01525225,0.0
115,NCT04698018,0.0
117,NCT02806973,0.0
119,NCT02121483,0.0
120,NCT00404963,0.0
123,NCT06942936,0.0
124,NCT06652971,0.0
126,NCT03686657,0.0
127,NCT01097681,1.0
128,NCT04276428,1.0
129,NCT05385575,0.0
131,NCT00607945,0.0
133,NCT01089166,0.0
134,NCT05327595,0.0
135,NCT00530309,0.0
136,NCT01407276,0.0
137,NCT01319734,0.0
138,NCT02854748,0.0
140,NCT04354090,0.0
141,NCT01607385,0.0
142,NCT02500485,0.0
144,NCT01762046,0.0
145,NCT05943886,0.0
146,NCT00886366,0.0
147,NCT00754143,0.0
148,NCT00811460,0.0
149,NCT05816759,0.0
150,NCT00269061,1.0
151,NCT01948986,0.0
152,NCT01272973,1.0
153,NCT03745885,0.0
154,NCT00511108,0.0
155,NCT03462017,0.0
156,NCT01576328,0.0
157,NCT06845202,0.0
158,NCT07020377,0.0
159,NCT00606112,0.0
160,NCT06495931,0.0
161,NCT06256523,0.0
162,NCT04990427,0.0
163,NCT02603510,0.0
164,NCT06548997,0.0
165,NCT00032474,0.0
167,NCT02813863,0.0
168,NCT01396564,0.0
169,NCT01794364,1.0
170,NCT05491421,0.0
171,NCT01238224,0.0
172,NCT05146869,0.0
173,NCT01545570,0.0
174,NCT00810589,0.0
175,NCT00944450,0.0
176,NCT02411929,0.0
178,NCT00612794,0.0
180,NCT05762744,0.0
181,NCT01620463,1.0
182,NCT01399346,0.0
183,NCT02161588,1.0
184,NCT01146886,0.0
185,NCT07068295,0.0
186,NCT00464880,0.0
187,NCT00099723,0.0
189,NCT01551446,1.0
190,NCT06124573,0.0
191,NCT00949663,0.0
192,NCT00933530,1.0
194,NCT03638778,0.0
197,NCT01496443,0.0
198,NCT05374343,0.0
199,NCT00532610,0.0
200,NCT04334213,0.0
201,NCT01512849,0.0
202,NCT01196728,0.0
203,NCT01449019,0.0
204,NCT01240980,0.0
205,NCT02915250,0.0
206,NCT01165268,1.0
207,NCT03928379,0.0
208,NCT01483781,0.0
209,NCT01933256,0.0
210,NCT05654831,0.0
211,NCT00853151,0.0
212,NCT01341392,0.0
213,NCT01464099,0.0
214,NCT06890299,0.0
215,NCT01369602,0.0
216,NCT03061981,0.0
217,NCT01827735,0.0
218,NCT01298518,0.0
219,NCT00989079,0.0
220,NCT03895996,0.0
221,NCT01044017,0.0
222,NCT02817217,0.0
223,NCT02284425,0.0
224,NCT01127308,0.0
225,NCT01923389,0.0
226,NCT00963768,0.0
228,NCT01789788,1.0
229,NCT06937203,0.0
230,NCT04823208,0.0
231,NCT04970940,0.0
232,NCT01101568,0.0
233,NCT02536859,0.0
234,NCT03176524,0.0
235,NCT04080596,0.0
236,NCT03510624,0.0
237,NCT01458210,0.0
238,NCT02514850,0.0
239,NCT03180710,0.0
240,NCT02411825,1.0
243,NCT02077803,0.0
244,NCT00671424,0.0
246,NCT00501462,1.0
247,NCT04889157,0.0
248,NCT01557504,0.0
249,NCT02445911,0.0
250,NCT00376038,0.0
251,NCT01076634,0.0
252,NCT02713841,0.0
253,NCT01526941,1.0
254,NCT02485327,0.0
255,NCT05516966,0.0
256,NCT05549583,0.0
257,NCT00511667,0.0
258,NCT00551564,0.0
259,NCT00952198,0.0
260,NCT00825253,0.0
261,NCT06422039,0.0
263,NCT00461136,0.0
264,NCT00394030,0.0
265,NCT02750007,0.0
266,NCT01924767,1.0
267,NCT04582435,0.0
269,NCT00830076,0.0
270,NCT02115347,0.0
271,NCT06362265,0.0
273,NCT03790839,0.0
274,NCT06709807,0.0
275,NCT02212951,0.0
276,NCT00511472,0.0
277,NCT00972322,0.0
278,NCT06246175,0.0
279,NCT01680328,0.0
281,NCT04907006,0.0
282,NCT07065032,0.0
283,NCT07234864,0.0
284,NCT01522807,0.0
286,NCT06942923,0.0
289,NCT00153179,0.0
290,NCT05232708,0.0
291,NCT05983289,0.0
293,NCT01719640,0.0
295,NCT06988553,0.0
296,NCT00726505,1.0
297,NCT00976729,1.0
299,NCT06498284,0.0
300,NCT01915849,1.0
301,NCT00027287,0.0
302,NCT01507311,1.0
303,NCT00910923,0.0
304,NCT01324388,0.0
305,NCT04660305,0.0
306,NCT03232983,0.0
307,NCT02373150,0.0
309,NCT03681691,0.0
312,NCT05437848,0.0
313,NCT02933853,0.0
314,NCT00929201,0.0
315,NCT01469468,0.0
316,NCT04869761,0.0
317,NCT06890286,0.0
318,NCT06199440,0.0
319,NCT06403761,0.0
320,NCT06792968,0.0
321,NCT07242469,0.0
322,NCT05452525,0.0
324,NCT01855321,0.0
325,NCT06513104,0.0
327,NCT01611363,0.0
328,NCT01106287,0.0
329,NCT01976858,1.0
330,NCT02910518,0.0
331,NCT02059564,1.0
332,NCT06492655,0.0
334,NCT06063109,0.0
335,NCT01490658,0.0
337,NCT03973515,0.0
339,NCT02020616,0.0
340,NCT05596747,0.0
341,NCT04407234,0.0
342,NCT03864432,0.0
344,NCT06879132,0.0
345,NCT01662999,0.0
346,NCT01856595,1.0
347,NCT05791201,0.0
348,NCT01272804,0.0
349,NCT06642584,0.0
350,NCT01221545,0.0
351,NCT01488877,0.0
352,NCT04907019,0.0
353,NCT01474083,0.0
354,NCT03322631,1.0
355,NCT01751399,0.0
356,NCT02000700,0.0
357,NCT00882882,0.0
358,NCT02146079,1.0
359,NCT01537120,0.0
360,NCT03058289,0.0
361,NCT01068717,0.0
362,NCT00947024,0.0
363,NCT01154348,0.0
364,NCT03816488,0.0
365,NCT03392961,0.0
366,NCT00770302,1.0
367,NCT06051565,0.0
368,NCT02754219,0.0
370,NCT05960656,0.0
371,NCT03095651,0.0
372,NCT01105429,0.0
373,NCT01087645,0.0
375,NCT02016911,1.0
378,NCT02528396,0.0
379,NCT02148861,0.0
380,NCT02058641,0.0
381,NCT06654960,0.0
382,NCT04324424,0.0
383,NCT02167061,0.0
384,NCT07004322,0.0
387,NCT04001231,0.0
388,NCT01497561,0.0
389,NCT00767260,0.0
390,NCT03867942,0.0
391,NCT05642377,0.0
392,NCT02113163,0.0
393,NCT02502253,0.0
394,NCT00790153,0.0
395,NCT02637037,0.0
396,NCT00558571,1.0
397,NCT05822544,0.0
398,NCT03849339,0.0
399,NCT00961857,0.0
400,NCT05996380,0.0
401,NCT00055042,0.0
402,NCT06592261,0.0
403,NCT05751720,0.0
405,NCT05890950,0.0
406,NCT00310297,0.0
407,NCT05498610,0.0
408,NCT02163278,0.0
409,NCT06141590,0.0
410,NCT01965496,1.0
411,NCT02588950,0.0
412,NCT01069926,1.0
413,NCT06924320,0.0
414,NCT02467790,0.0
415,NCT00370084,0.0
416,NCT02250222,0.0
417,NCT04373265,0.0
418,NCT05824975,0.0
