nct_id,title,official_title,status,start_date,completion_date,primary_completion_date,phase,enrollment,study_type,allocation,intervention_model,primary_purpose,masking,conditions,intervention_types,intervention_names,sponsor,sponsor_type,has_results,num_outcome_measures,num_primary_outcomes,num_secondary_outcomes,primary_outcome_titles,primary_outcome_descriptions,primary_outcome_timeframes,primary_analyses_data,num_p_values_in_primary,all_p_values_primary,all_param_values_primary,all_ci_data_primary,baseline_participants
NCT00528879,A Phase III Study of BMS-512148 (Dapagliflozin) in Patients With Type 2 Diabetes Who Are Not Well Controlled on Metformin Alone,"A Multicenter, Randomized, Double-Blind, Placebo-Controlled, Parallel Group, Phase 3 Trial to Evaluate the Safety and Efficacy of Dapagliflozin in Combination With Metformin in Subjects With Type 2 Diabetes Who Have Inadequate Glycemic Control on Metformin Alone",COMPLETED,2007-09,2010-05,2008-11,PHASE3,915.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes,"DRUG, DRUG, DRUG","Dapagliflozin, Placebo, Metformin",AstraZeneca,INDUSTRY,True,15,1,8,Adjusted Mean Change From Baseline in Hemoglobin A1C (HbA1c) at Week 24 (Last Observation Carried Forward [LOCF]),"HbA1c was measured as percent of hemoglobin by a central laboratory. Data after rescue medication was excluded from this analysis. Baseline was defined as the last assessment prior to the start date and time of the first dose of the double-blind study medication. In cases where time of the first dose or time of the assessment was not available, baseline was defined as the last assessment on or prior to the date of the first dose of the double-blind study medication. HbA1c measurements were obtained during the qualification and lead-in periods and on Day 1 and Weeks 4, 8, 12, 16, 20, and 24 in the double-blind period.",From Baseline to Week 24,"[{""groupIds"": [""OG000"", ""OG001""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""0.0002"", ""pValueComment"": ""Tested at alpha=0.019, applying the Dunnett adjustment"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.38"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.1014""}, {""groupIds"": [""OG000"", ""OG002""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""Tested at alpha=0.019, applying the Dunnett adjustment"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.41"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.1016""}, {""groupIds"": [""OG000"", ""OG003""], ""testedNonInferiority"": false, ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""Tested at alpha=0.019, applying the Dunnett adjustment"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Mean Difference (Final Values)"", ""paramValue"": ""-0.54"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.1021""}]",3,"0.0002, <0.0001, <0.0001","-0.38, -0.41, -0.54",,1092.0
NCT00968812,CANagliflozin Treatment And Trial Analysis-Sulfonylurea (CANTATA-SU) SGLT2 Add-on to Metformin Versus Glimepiride,"A Randomized, Double-Blind, 3-Arm Parallel-Group, 2-Year (104-Week), Multicenter Study to Evaluate the Efficacy, Safety, and Tolerability of JNJ-28431754 Compared With Glimepiride in the Treatment of Subjects With Type 2 Diabetes Mellitus Not Optimally Controlled on Metformin Monotherapy",COMPLETED,2009-09,2013-01,2011-12,PHASE3,1452.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG","Glimepiride, Canagliflozin (JNJ-28431754), Metformin","Janssen Research & Development, LLC",INDUSTRY,True,4,1,3,Change in HbA1c From Baseline to Week 52,"The table below shows the least-squares (LS) mean change in HbA1c from Baseline to Week 52 for each treatment group. The statistical analyses show the treatment differences (ie, each canagliflozin group minus glimepiride) in the LS mean change.",Day 1 (Baseline) and Week 52,"[{""groupIds"": [""OG000"", ""OG002""], ""groupDescription"": ""If the hypothesis of non-inferiority of canagliflozin to glimepiride at Week 52 was demonstrated (ie, upper bound of the 95% Confidence Interval of the treatment difference \\[canagliflozin minus glimepiride\\] was less than 0.3) and the upper bound was less than 0.0, the superiority of the canagliflozin dose relative to glimepiride would be concluded."", ""testedNonInferiority"": true, ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""Power calculation: assuming a difference between canagliflozin and glimepiride of 0.0% and a common standard deviation of 1.0%, and using a 2-sample, 1-sided t-test with a Type I error rate of 0.0125, and assuming a drop-out rate of 35% in 52 weeks, it was estimated that approximately 427 patients per group would provide 90% power to demonstrate non-inferiority with the non-inferiority margin of 0.3, comparing canagliflozin with glimepiride."", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Least-Squares Mean Difference"", ""paramValue"": ""-0.01"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.109"", ""ciUpperLimit"": ""0.085"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.050""}, {""groupIds"": [""OG001"", ""OG002""], ""groupDescription"": ""If the hypothesis of non-inferiority of canagliflozin to glimepiride at Week 52 was demonstrated (ie, upper bound of the 95% Confidence Interval of the treatment difference \\[canagliflozin minus glimepiride\\] was less than 0.3) and the upper bound was less than 0.0, the superiority of the canagliflozin dose relative to glimepiride would be concluded."", ""testedNonInferiority"": true, ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""Power calculation: assuming a difference between canagliflozin and glimepiride of 0.0% and a common standard deviation of 1.0%, and using a 2-sample, 1-sided t-test with a Type I error rate of 0.0125, and assuming a drop-out rate of 35% in 52 weeks, it was estimated that approximately 427 patients per group would provide 90% power to demonstrate non-inferiority with the non-inferiority margin of 0.3, comparing canagliflozin with glimepiride"", ""statisticalMethod"": ""ANCOVA"", ""paramType"": ""Least-Squares Mean Difference"", ""paramValue"": ""-0.12"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.217"", ""ciUpperLimit"": ""-0.023"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.050""}]",0,,"-0.01, -0.12","[-0.109, 0.085] | [-0.217, -0.023]",2900.0
NCT00614120,Effect of Liraglutide or Glimepiride Added to Metformin on Blood Glucose Control in Subjects With Type 2 Diabetes,Effect of Liraglutide or Glimepiride Added to Metformin on Glycaemic Control in Subjects With Type 2 Diabetes,COMPLETED,2008-01,2009-02,2009-02,PHASE3,929.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,"Diabetes, Diabetes Mellitus, Type 2","DRUG, DRUG, DRUG, DRUG, DRUG, DRUG, DRUG","liraglutide, placebo, liraglutide, liraglutide, glimepiride, metformin, placebo",Novo Nordisk A/S,INDUSTRY,True,8,1,7,Change in Glycosylated Haemoglobin A1c (HbA1c),Percentage point change in Glycosylated Haemoglobin A1c (HbA1c) from baseline (week 0) to 16 weeks (end of treatment).,"week 0, week 16","[{""groupIds"": [""OG002"", ""OG003""], ""groupDescription"": ""Based on standard normal theory, the sample size needed in order to be able to show that lira + met is non-inferior to glim + met when using a 1:1 randomisation and a non-inferiority criteria of 0.4% with a power of at least 85%, is tabulated below using different SD of HbA1c.\n\nAssuming a drop out rate of 25%, the total number of subjects to be randomised is 896 (224 for each dose of the liraglutide + metformin group and 224 subjects in metformin+glimepiride treatment group) with a SD of 1.2%."", ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""Non-inferiority is concluded if the two-sided upper limit of the 95% confidence interval for treatment difference in mean change in HbA1c between lira 1.8mg + met and glim + met is below 0.4%."", ""pValue"": ""<0.0001"", ""pValueComment"": ""Non-inferiority; \\<.0001. In order to protect the overall Type I error rate when testing for non-inferiority of the three doses of lira + met to glim + met, the comparisons will be invoked sequentially for descending doses of liraglutide."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""ANCOVA model with treatment, country and previous treatment as fixed effects and baseline value as a covariate."", ""paramType"": ""Estimated treatment difference, LS Mean"", ""paramValue"": ""-0.06"", ""ciPctValue"": ""95"", ""ciLowerLimit"": ""-0.23"", ""ciUpperLimit"": ""0.11"", ""estimateComment"": ""The p-values correspond to one-sided hypotheses of either superiority or non-inferiority. Statistical significance on a 2.5% level.""}, {""groupIds"": [""OG001"", ""OG003""], ""groupDescription"": ""Based on standard normal theory, the sample size needed in order to be able to show that lira + met is non-inferior to glim + met when using a 1:1 randomisation and a non-inferiority criteria of 0.4% with a power of at least 85%, is tabulated below using different SD of HbA1c.\n\nAssuming a drop out rate of 25%, the total number of subjects to be randomised is 896 (224 for each dose of the liraglutide + metformin group and 224 subjects in metformin+glimepiride treatment group) with a SD of 1.2%."", ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""Non-inferiority is concluded if the two-sided upper limit of the 95% confidence interval for treatment difference in mean change in HbA1c between lira 1.2mg + met and glim + met is below 0.4%."", ""pValue"": ""<.0001"", ""pValueComment"": ""In order to protect the overall Type I error rate when testing for non-inferiority of the three doses of lira + met to glim + met, the comparisons will be invoked sequentially for descending doses of liraglutide."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""ANCOVA model with treatment, country and previous treatment as fixed effects and baseline value as a covariate."", ""paramType"": ""Estimated treatment difference, LS Mean"", ""paramValue"": ""0.03"", ""ciPctValue"": ""95"", ""ciLowerLimit"": ""-0.14"", ""ciUpperLimit"": ""0.20"", ""estimateComment"": ""The p-values correspond to one-sided hypotheses of either superiority or non-inferiority. Statistical significance on a 2.5% level.""}, {""groupIds"": [""OG000"", ""OG003""], ""groupDescription"": ""Based on standard normal theory, the sample size needed in order to be able to show that lira + met is non-inferior to glim + met when using a 1:1 randomisation and a non-inferiority criteria of 0.4% with a power of at least 85%, is tabulated below using different SD of HbA1c.\n\nAssuming a drop out rate of 25%, the total number of subjects to be randomised is 896 (224 for each dose of the liraglutide + metformin group and 224 subjects in metformin+glimepiride treatment group) with a SD of 1.2%."", ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE"", ""nonInferiorityComment"": ""Non-inferiority is concluded if the two-sided upper limit of the 95% confidence interval for treatment difference in mean change in HbA1c between lira 0.6mg + met and glim + met is below 0.4%."", ""pValue"": ""0.0421"", ""pValueComment"": ""In order to protect the overall Type I error rate when testing for non-inferiority of the three doses of lira + met to glim + met, the comparisons will be invoked sequentially for descending doses of liraglutide."", ""statisticalMethod"": ""ANCOVA"", ""statisticalComment"": ""ANCOVA model with treatment, country and previous treatment as fixed effects and baseline value as a covariate."", ""paramType"": ""Estimated treatment difference, LS Mean"", ""paramValue"": ""0.25"", ""ciPctValue"": ""95"", ""ciLowerLimit"": ""0.08"", ""ciUpperLimit"": ""0.42"", ""estimateComment"": ""The p-values correspond to one-sided hypotheses of either superiority or non-inferiority.""}]",3,"<0.0001, <.0001, 0.0421","-0.06, 0.03, 0.25","[-0.23, 0.11] | [-0.14, 0.20] | [0.08, 0.42]",1858.0
NCT03219320,Efficacy and Safety of NYX-2925 in Subjects With Neuropathic Pain Associated With Diabetic Peripheral Neuropathy,"A Randomized, Double-Blind, Parallel-Group, Placebo-Controlled, Multiple-Dose Study to Assess the Efficacy and Safety of NYX-2925 in Subjects With Neuropathic Pain Associated With Diabetic Peripheral Neuropathy",COMPLETED,2017-06-27,2018-11-02,2018-11-02,PHASE2,301.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,SUPPORTIVE_CARE,TRIPLE,Diabetic Peripheral Neuropathy,"DRUG, DRUG","NYX-2925, Placebo",Aptinyx,INDUSTRY,True,3,1,1,Numeric Rating Scale (NRS) Average Pain Intensity,"Change in the NRS score assessing average pain intensity in the past 24 hours; 0=no pain, 10=worst pain imaginable",From baseline (average of -7 to -1) to Week 4 (average of Days 22 through 28),,0,,,,602.0
NCT01499082,Comparison of a New Formulation of Insulin Glargine With Lantus in Patients With Type 2 Diabetes Mellitus on Basal Plus Mealtime Insulin,"6-Month, Multicenter, Randomized, Open-label, Parallel-group Study Comparing the Efficacy and Safety of a New Formulation of Insulin Glargine and Lantus® Both Plus Mealtime Insulin in Patients With Type 2 Diabetes Mellitus With a 6-month Safety Extension Period",COMPLETED,2011-12,2013-09,2013-01,PHASE3,807.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes Mellitus,"DRUG, DRUG","HOE901-U300 (new formulation of insulin glargine), Lantus (insulin glargine)",Sanofi,INDUSTRY,True,12,1,10,Change in HbA1c From Baseline to Month 6 Endpoint,,"Baseline, Month 6","[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Analysis was performed using an analysis of covariance (ANCOVA) model with treatment, strata of screening HbA1c (\\<8.0 and \\>=8.0%), and country as fixed effects and using the HbA1c baseline value as a covariate."", ""nonInferiorityType"": ""NON_INFERIORITY_OR_EQUIVALENCE_LEGACY"", ""nonInferiorityComment"": ""Stepwise closed testing approach was used to assess non-inferiority and superiority sequentially:\n\n1. Non-inferiority of HOE901-U300 vs Lantus: Upper bound of two-sided 95% confidence interval (CI) of difference between HOE901-U300 and Lantus on mITT population is \\<0.4%.\n2. Superiority (only if non-inferiority has been demonstrated): Upper bound of two-sided 95% CI for difference in mean change in HbA1c from baseline to endpoint between HOE901-U300 and Lantus on mITT population is \\<0."", ""paramType"": ""Least Squares (LS) Mean Difference"", ""paramValue"": ""-0.00"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.112"", ""ciUpperLimit"": ""0.107"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.056""}]",0,,-0.00,"[-0.112, 0.107]",1614.0
NCT01191320,Study to Evaluate the Efficacy of Androxal in Controlling Blood Glucose in Men With Type-2 Diabetes Mellitus,A Study to Evaluate the Efficacy of Androxal® in Improving Glycemic Control in Men With Secondary Hypogonadism or Adult-onset Idiopathic Hypogonadotropic Hypogonadism (AIHH) and Type 2 Diabetes Mellitus With Sub-Optimum Treatment,COMPLETED,2010-10,2011-12,2011-12,PHASE2,102.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,"Type 2 Diabetes Mellitus, Secondary Hypogonadism","DRUG, DRUG","Placebo, Androxal",Repros Therapeutics Inc.,INDUSTRY,True,1,1,0,Change in HbA1C,The change in HbA1c from Baseline to 3 Months for each treatment arm,3 months,,0,,,,238.0
NCT02058160,Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination Versus Insulin Glargine in Patients With Type 2 Diabetes,"A Randomized, 30-week, Active-controlled, Open Label, 2- Treatment Arm, Parallel-group, Multicenter Study Comparing the Efficacy and Safety of the Insulin Glargine/Lixisenatide Fixed Ratio Combination to Insulin Glargine With or Without Metformin in Patients With Type 2 Diabetes Mellitus (T2DM)",COMPLETED,2014-01,2015-07,2015-07,PHASE3,736.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,NONE,Type 2 Diabetes,"DRUG, DRUG, DRUG","Insulin glargine/lixisenatide (HOE901/AVE0010), Insulin glargine (HOE901), Metformin (Background Drug)",Sanofi,INDUSTRY,True,15,1,14,Change in Glycated Hemoglobin (HbA1c) From Baseline to Week 30,Change in HbA1c was calculated by subtracting baseline value from Week 30 value.,"Baseline, Week 30","[{""groupIds"": [""OG000"", ""OG001""], ""groupDescription"": ""Analysis was performed using Mixed-effect model with repeated measures (MMRM) with treatment groups, randomization strata of Week -1 HbA1c (\\<8.0, \u22658.0%), randomization strata of metformin use at screening, visits, treatment-by-visit interaction and country as fixed effects and baseline HbA1c value-by-visit interaction as covariates. A hierarchical testing procedure was used to control type I error and handle multiple endpoint analyses."", ""nonInferiorityType"": ""SUPERIORITY_OR_OTHER"", ""pValue"": ""<0.0001"", ""pValueComment"": ""Threshold for significance at 0.05 level."", ""statisticalMethod"": ""Mixed Models Analysis"", ""paramType"": ""Least square (LS) mean difference"", ""paramValue"": ""-0.52"", ""ciPctValue"": ""95"", ""ciNumSides"": ""TWO_SIDED"", ""ciLowerLimit"": ""-0.633"", ""ciUpperLimit"": ""-0.397"", ""dispersionType"": ""STANDARD_ERROR_OF_MEAN"", ""dispersionValue"": ""0.06"", ""estimateComment"": ""Insulin Glargine/Lixisenatide FRC vs Insulin Glargine""}]",1,<0.0001,-0.52,"[-0.633, -0.397]",1472.0
NCT02151461,Dose Comparisons of Leucine-Metformin Combinations on Blood Glucose Levels In Type 2 Diabetic Patients,"A Randomized, Double-Blind, Active-Controlled Study to Evaluate the Effect of Various Fixed-Dose Leucine and Metformin Combinations (NS-0100) Versus Standard Metformin Monotherapy on Glycemic Control in Subjects With Type 2 Diabetes",COMPLETED,2014-07,2016-01,2015-08,PHASE2,96.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,QUADRUPLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG, DRUG","Low Metformin, Metformin, Mid Metformin, High Metformin",NuSirt Biopharma,INDUSTRY,True,8,1,7,Change From Baseline to Day 28 in Absolute Plasma Glucose Area Under the Curve (AUC) 0-3hr,The primary endpoint for NS 0100 01 was the absolute plasma glucose AUC (0-3 hr) change from Day 1 to Day 28.,"0, 15min, 30min, 45min, 1hr, 1.5hrs, 2hrs, 2.5hrs and 3 hrs","[{""groupIds"": [""OG000"", ""OG003""], ""nonInferiorityType"": ""OTHER"", ""nonInferiorityComment"": ""A mixed-effects model for analysis of covariance (ANCOVA) was used to analyze changes from Baseline in plasma glucose AUC(0-3hr) at Week 4 in the Day 28 Evaluable population. The model includes factors for treatment group and fasting plasma glucose stratum."", ""pValue"": ""0.0435"", ""pValueComment"": ""Baseline plasma glucose AUC(0-3hr) is adjusted as a covariate."", ""statisticalMethod"": ""ANCOVA""}, {""groupIds"": [""OG001"", ""OG003""], ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.065"", ""statisticalMethod"": ""ANCOVA""}, {""groupIds"": [""OG002"", ""OG003""], ""nonInferiorityType"": ""OTHER"", ""pValue"": ""0.1216"", ""statisticalMethod"": ""ANCOVA""}]",3,"0.0435, 0.065, 0.1216",,,192.0
NCT01456130,Long-term Study of Alogliptin as an Add-on to Rapid-Acting Insulin Secretagogues in Type 2 Diabetes,"A Long-Term, Open-Label Study to Investigate the Long-Term Safety of SYR-322 When Used in Combination With Rapid-Acting Insulin Secretagogues in Subjects With Type 2 Diabetes in Japan",COMPLETED,2011-11,2013-03,2013-03,PHASE3,67.0,INTERVENTIONAL,NA,SINGLE_GROUP,,NONE,Diabetes Mellitus,"DRUG, DRUG","Alogliptin, Rapid-acting insulin secretagogue",Takeda,INDUSTRY,True,4,1,3,Number of Participants With Treatment Emergent Adverse Events (TEAEs),"An TEAE is any untoward medical occurrence in a clinical investigation participant administered a drug; it does not necessarily have a causal relationship with this treatment. A serious TEAE is defined as any untoward medical occurrence that resulted in death, was life threatening, required or prolonged inpatient hospitalization, resulted in persistent or significant disability or incapacity, led to a congenital anomaly/birth defect or was an important medical event that may have required intervention to prevent any of items above.",52 Weeks,,0,,,,67.0
NCT00924573,Comparative Study of HOE490 O (Glimepiride and Metformin) Compared With Placebo on Top of Glimepiride,Double-blinded Comparative Study to Investigate the Efficacy and Safety of HOE490 O (Glimepiride and Metformin) Compared With Placebo on Top of Glimepiride in Patients With T2DM Inadequately Treated With Constant Dose of Glimepiride,COMPLETED,2009-05,2010-03,2010-03,PHASE3,189.0,INTERVENTIONAL,RANDOMIZED,PARALLEL,TREATMENT,DOUBLE,Type 2 Diabetes Mellitus,"DRUG, DRUG, DRUG","Metformin, placebo, Glimepiride (HOE490)",Sanofi,INDUSTRY,False,0,0,0,,,,,0,,,,
